,ID,centrality_word_cloud_dd,centrality_word_cloud_ndtv,centrality_word_cloud_tn
0,0,"{'central election committee': 0.35555555555555557, 'parliamentary constituencies': 0.2962962962962963, 'Lok Sabha elections': 0.2222222222222222, 'BJP candidates': 0.4444444444444444, 'BJP': 0, 'candidates': 0.19753086419753085, 'list': 0.14814814814814814, 'Odisha assembly constituency': 0.14814814814814814, 'Minister Narendra Modi': 0.1111111111111111, 'meet': 0.1111111111111111}","{'Congress': 0.36580086580086585, 'BJP': 0.3072727272727273, 'Mayawati': 0.2845117845117845, 'seats': 0.24780058651026396, 'opposition alliance': 0.2327823691460055, 'party': 0.2327823691460055, 'Congress slogan': 0.20761670761670764, 'bluff': 0.20761670761670764, 'minister Indira Gandhi': 0.20761670761670764, 'Garibi Hatao': 0.20761670761670764, 'team': 0.19696969696969696, 'rival Akhilesh Yadav': 0.19696969696969696, 'impression': 0.19696969696969696, 'Akhilesh Yadav': 0.17864693446088795, 'Congress party': 0.13636363636363635, 'feather': 0.0818181818181818, 'labourers': 0.0818181818181818, 'reaction': 0.0818181818181818, 'Rs': 0.0, 'chief Rahul Gandhi': 0.0, 'attacks': 0.0, 'Lok Sabha': 0.0, 'Twitter': 0.0}","{'general elections': 0.30906768837803317, 'party': 0.2828755113968439, 'New Delhi unit': 0.2736009044657999, 'PTI': 0.26918798665183535, 'BJP': 0.25676392572944295, 'New Delhi BJP': 0.24543610547667344, 'Delhi unit': 0.23180076628352492, 'cricketer Gautam Gambhir': 0.2225287356321839, 'New Delhi seat': 0.2225287356321839, 'priority': 0.2225287356321839, 'dedicated leaders': 0.21960072595281308, 'workers': 0.21960072595281308, 'Lok Sabha polls': 0.20353238015138772, 'Delhi Lok Sabha': 0.20108018280016618, 'Jaibhan Singh Pawaiya': 0.20108018280016618, 'candidates': 0.20108018280016618, 'list': 0.20108018280016618, 'Lok Sabha tickets': 0.18752421542037967, 'central leadership': 0.18752421542037967, 'national capital': 0.17945865776789025, 'objections': 0.17945865776789025, 'recommendations': 0.15172413793103448, 'New Delhi': 0.15172413793103448, 'celebrities': 0.06896551724137931, 'Parliament': 0.04597701149425287, 'Delhi assembly elections': 0.04597701149425287, 'Delhi BJP election': 0.034482758620689655, 'Lok Sabha seats': 0.034482758620689655, 'Bharatiya Janata Party': 0.0, 'Delhi': 0.0}"
1,1,"{'Chhattisgarh': 0.13333333333333333, 'INSAS rifle': 0.13333333333333333, 'Sukma district': 0.13333333333333333, 'place': 0.08888888888888888, 'group': 0.08888888888888888, 'spot': 0.08888888888888888, 'phases': 0.08888888888888888, 'Bastar Lok Sabha': 0.08888888888888888, 'phase': 0.08888888888888888, 'police': 0.06666666666666667, 'security forces': 0.06666666666666667, 'elite unit': 0.06666666666666667, 'forest area': 0.06666666666666667, 'Anti-Naxal operations': 0.06666666666666667, 'Bastar division': 0.06666666666666667, 'Commando Battalion': 0.0}","{'CRPF official': 0.375, 'Insas rifle': 0.22499999999999998, 'bodies': 0.22499999999999998, 'guerrilla tactics': 0.22499999999999998, 'CoBRA unit': 0.125, 'kilometre': 0.125, 'maoists': 0.0, 'Commando Battalion': 0.0, 'Twitter': 0.0}","{'CRPF official': 0.6666666666666666, 'Maoists': 0.38095238095238093, 'Insas rifle': 0.38095238095238093, 'bodies': 0.38095238095238093, 'guerrilla tactics': 0.38095238095238093, 'Commando Battalion': 0.16666666666666666, 'kilometre': 0.16666666666666666}"
2,2,"{'place': 0.14285714285714285, 'scrutiny': 0.09523809523809523, 'phase': 0.09523809523809523, 'BJP': 0.07142857142857142, 'candidates': 0.07142857142857142, 'nominations': 0.07142857142857142, 'Lok Sabha polls': 0.07142857142857142, 'Parliamentary constituencies': 0.07142857142857142, 'polls': 0.07142857142857142, 'seats': 0.0, 'constituencies': 0.0, 'Lok Sabha elections': 0, 'union territories': 0.0, 'Sabha elections': 0, 'Monday evening': 0.0}","{'Congress': 0.36296296296296293, 'candidates': 0.2688614540466392, 'Lok Sabha seats': 0.2341696535244922, 'Tariq Anwar': 0.2341696535244922, 'Congress candidates': 0.21997755331088664, 'Purnea': 0.21997755331088664, 'Purnea seats': 0.21997755331088664, 'Lok Sabha elections': 0.21997755331088664, 'Dr Mohammad Javed': 0.21997755331088664, 'Pappu Singh': 0.21997755331088664, 'Mukesh Sahnis': 0.19103313840155944, 'Upendra Kushwaha': 0.18148148148148147, 'Katihar seat': 0.16498316498316498, 'opposition': 0.16498316498316498, 'Mukesh Sahnis VIP': 0.14233841684822077, 'RJD': 0.1111111111111111, 'Parliament': 0.06666666666666667, 'MPs': 0.06666666666666667, 'state': 0.06666666666666667, 'Bhagalpur': 0.037037037037037035, 'Prakash Narayan Yadav': 0.037037037037037035, 'polling': 0.0, 'date': 0.0, 'opposition Grand Alliance': 0.0, 'Bihar': 0.0, 'Dr Mohammad': 0.0, 'Lalu Yadav': 0.0, 'Twitter': 0.0}","{'Abdullah': 0.18115942028985507, 'nomination papers': 0.1358695652173913, 'police': 0.13043478260869565, 'officer': 0.13043478260869565, 'voters': 0.13043478260869565, 're-election': 0.12077294685990338, 'Srinagar': 0.12077294685990338, 'vice-president Omar Abdullah': 0.10869565217391304, 'Srinagar Lok Sabha': 0.09782608695652173, 'constituency': 0.09782608695652173, 'president Farooq Abdullah': 0.09057971014492754, 'entire area': 0.07826086956521738, 'untoward incident': 0.07826086956521738, 'supporters': 0.07826086956521738, 'guidelines': 0.07826086956521738, 'maximum number': 0.07826086956521738, 'nomination': 0.07826086956521738, 'votes': 0.07826086956521738, 'pomp': 0.0, 'NC leaders': 0.0, 'people': 0.0, 'filing nomination papers': 0.0, 'phase': 0.0, 'polling': 0.0}"
3,3,"{'Rajeev Saxena': 0.2571428571428571, 'ED': 0.23376623376623373, 'Delhi court': 0.21428571428571427, 'Enforcement Directorate': 0.1978021978021978, 'charge sheet': 0.18367346938775508, 'bail': 0.15126050420168066, 'director': 0.13533834586466165, 'Judge Arvind Kumar': 0.07142857142857142, 'information': 0.07142857142857142, 'AIIMS': 0.07142857142857142, 'reports': 0.07142857142857142, 'development': 0.0, 'UHY Saxena': 0, 'Matrix Holdings': 0.0, 'scam': 0.0}","{'Mr Saxena': 0.29239766081871343, 'approver': 0.2506265664160401, 'case': 0.21052631578947367, 'charge sheet': 0.21052631578947367, 'Enforcement Directorate': 0.20242914979757085, 'statement': 0.1949317738791423, 'crore AgustaWestland scam': 0.1949317738791423, 'Rajeev Saxena': 0.1594896331738437, 'special judge': 0.1547987616099071, 'ED': 0.1547987616099071, 'Delhi court': 0.12531328320802004, 'court': 0.10526315789473684, 'bail': 0.07017543859649122, 'copies': 0.07017543859649122, 'judge Arvind Kumar': 0.05263157894736842, 'Rajeev Saxena Rajeev': 0.05263157894736842, 'AIIMS': 0.05263157894736842, 'perusal': 0.05263157894736842, 'UHY Saxena': 0.0, 'Twitter': 0.0}","{'Saxena': 0.5859375, 'global structure': 0.3472222222222222, 'kickback payments': 0.33482142857142855, 'Judge Arvind Kumar': 0.3232758620689655, 'Enforcement Directorate': 0.3232758620689655, 'middleman': 0.3125, 'VVIP chopper scam': 0.3125, 'Rajiv Saxena': 0.3125, 'Saxena Dubai resident': 0.3125, 'United Arab Emirates': 0.3125, 'medical grounds': 0.3125, 'ED': 0.3125, 'political leaders': 0.3125, 'money': 0.3125, 'Saxena statement': 0.3125, 'launder money': 0.22865853658536583, 'court': 0.125, 'special judge': 0.075, 'copies': 0.075, 'statement': 0.075, 'bureaucrats': 0.041666666666666664, 'contract': 0.041666666666666664, 'middleman Rajiv Saxena': 0.0, 'authorities': 0.0, 'lawyer Gautam Khaitan': 0.0}"
4,4,"{'Union minister Arun': 0.5333333333333333, 'Congress': 0.49230769230769234, 'NDA govt': 0.3764705882352941, 'poverty alleviation': 0.3368421052631579, 'cong': 0.3368421052631579, 'politics': 0.32000000000000006, 'poverty': 0.32000000000000006, 'people': 0.32000000000000006, 'cr': 0.26666666666666666, 'BJP': 0.1, 'electoral promise': 0.1}","{'scheme': 0.35795454545454547, 'Rahul Gandhi': 0.3088235294117647, 'minimum income guarantee': 0.3088235294117647, 'Congress': 0.3088235294117647, 'poverty': 0.2763157894736842, 'crore families': 0.2540322580645161, 'Nyuntam Aay Yojana': 0.24609375, 'Congress Working Committee': 0.24230769230769234, 'Finance Minister Arun': 0.23863636363636365, 'political transactions': 0.23161764705882354, 'income guarantee scheme': 0.22183098591549294, 'Rahul Gandhi Rahul': 0.22183098591549294, 'final assault': 0.22183098591549294, 'bank account': 0.22183098591549294, 'calculations': 0.22183098591549294, 'candidates': 0.22183098591549294, 'party': 0.19444444444444442, 'Congress president': 0.19207317073170732, 'Congress scheme': 0.18313953488372092, 'Congress scheme chhal-kapat': 0.18313953488372092, 'Minister Narendra Modi': 0.1590909090909091, 'PM Kisan plan': 0.1323529411764706, 'money': 0.10714285714285714, 'accounts': 0.06428571428571428, 'bank accounts': 0.06428571428571428, 'cent': 0.06428571428571428, 'cash handout': 0.0, 'social security payments': 0.0, 'Twitter': 0.0}","{'Congress': 0.3160493827160494, 'President Rahul Gandhi': 0.3058542413381123, 'Minister Narendra Modi': 0.24311490978157643, 'India': 0.24311490978157643, 'Finance Minister': 0.23125564588979222, 'hatao': 0.23125564588979222, 'Indiraji': 0.2204995693367786, 'Congress Party': 0.21069958847736625, 'crore Indians': 0.21069958847736625, 'Congress President Rahul': 0.20611916264090174, 'income guarantee scheme': 0.20611916264090174, 'political party': 0.1755829903978052, 'press conference': 0.1693121693121693, 'Finance Minister attack': 0.1693121693121693, 'Indira ji': 0.1693121693121693, 'Rs': 0.1693121693121693, 'Hatao’ slogan': 0.16347381864623242, 'Finance Minister Arun': 0.037037037037037035, 'Congress president': 0.037037037037037035, 'minimum basic income': 0.037037037037037035, 'Indians': 0.037037037037037035, 'Jaitley': 0.0, 'Indiraji party': 0.0, 'party': 0.0, 'Arun Jaitley': 0.0, 'economic reforms': 0.0, 'slogan': 0.0, 'Rajiv Gandhi': 0.0}"
5,5,"{'ED': 0.21428571428571427, 'Mehta': 0.14285714285714285, 'objection': 0.12857142857142856, 'wilful suppression': 0.12857142857142856, 'relief': 0.12857142857142856, 'petition': 0.09523809523809523, 'Vadra': 0.16666666666666666, 'Delhi High Court': 0.14285714285714285, 'Enforcement Directorate': 0.07142857142857142, 'Robert Vadra': 0, 'probe agency': 0.07142857142857142, 'justices Hima Kohli': 0.07142857142857142, 'aide Manoj Arora': 0.07142857142857142, 'court': 0, 'matter': 0.07142857142857142}","{'Mr Vadra': 0.2857142857142857, 'justices Hima Kohli': 0.19999999999999998, 'ED': 0.16666666666666666, 'Solicitor General Tushar': 0.16666666666666666, 'Bryanston Square': 0.16666666666666666, 'advocate Abhishek Manu': 0.16666666666666666, 'Money Laundering Act': 0.16666666666666666, 'aide Manoj Arora': 0.13333333333333333, 'Delhi High Court': 0.125, 'matter': 0.125, 'objection': 0.09999999999999999, 'wilful suppression': 0.09999999999999999, 'relief': 0.09999999999999999, 'Enforcement Directorate': 0.08333333333333333, 'court': 0.08333333333333333, 'Robert Vadra': 0.05555555555555555, 'probe agency': 0.05555555555555555, 'petition': 0.0, 'Twitter': 0.0}","{'Vadra': 0.19841269841269843, 'ED': 0.16666666666666666, 'Solicitor General Tushar': 0.154320987654321, 'advocate Abhishek Manu': 0.154320987654321, 'Bryanston Square': 0.12626262626262627, 'probe agency': 0.1111111111111111, 'petition': 0.10683760683760685, 'Money Laundering Act': 0.10683760683760685, 'objection': 0.09999999999999999, 'wilful suppression': 0.09999999999999999, 'relief': 0.09999999999999999, 'Robert Vadra': 0.07407407407407407, 'affidavit': 0.07407407407407407, 'Delhi High Court': 0.05555555555555555, 'response': 0.05555555555555555, 'justices Hima Kohli': 0.05555555555555555, 'aide Manoj Arora': 0.05555555555555555, 'court': 0.05555555555555555, 'matter': 0.05555555555555555}"
6,6,"{'Sindh province': 0.34265734265734266, 'Pakistan': 0.34265734265734266, 'India': 0.2512820512820513, 'report': 0.22171945701357465, 'Ghotki district': 0.22171945701357465, 'Hindu community': 0.4012066365007541, 'massive protests': 0.22171945701357465, 'Hindu forcible conversion': 0, 'Minister Sushma Swaraj': 0.15384615384615385, 'Chaudhry': 0.10256410256410256, 'nervousness': 0.10256410256410256, 'Indian High Commissioner': 0.0, 'Minister Fawad Chaudhry': 0, 'data': 0.0}","{'Sindh': 0.21052631578947367, 'marriage': 0.20639834881320948, 'Mr Lal': 0.19138755980861244, 'cleric': 0.18796992481203006, 'Minister Imran Khan': 0.1571091908876669, 'girls': 0.15255530129672007, 'girl': 0.15037593984962405, 'authorities': 0.14619883040935672, 'Sindh Minorities Protection': 0.14619883040935672, 'police': 0.14419610670511895, 'abduction': 0.1422475106685633, 'Mr Lal government': 0.1422475106685633, 'government draft': 0.1422475106685633, 'wedding': 0.14035087719298245, 'provincial governments': 0.12239902080783353, 'Reena': 0.12099213551119177, 'men': 0.12099213551119177, 'Hindu': 0.11961722488038276, 'protection': 0.11567379988432619, 'government': 0.11567379988432619, 'involvement': 0.11441647597254004, 'Pakistan': 0.05263157894736842, 'Sindh province': 0.03508771929824561, 'Ms': 0.03508771929824561, 'note': 0.02631578947368421, 'social media': 0.02631578947368421, 'Islamabad High Court': 0.02631578947368421, 'official protection': 0.02631578947368421, 'underage Hindu girl': 0.0, 'Sindh Information Department': 0.0, '16-year-old Hindu girl': 0.0, 'underage girls': 0.0, 'Act': 0.0, 'marriages': 0.0, 'group': 0.0, 'video': 0.0, 'war': 0.0, 'spat': 0.0, 'Hindu population': 0.0}","{'marriage': 0.09375, 'cleric': 0.08653846153846154, 'Sindh': 0.08653846153846154, 'man': 0.0703125, 'girls': 0.0703125, 'Pakistan PM': 0.0703125, 'religious groups': 0.0703125, 'teenagers': 0.0625, 'Minister Imran Khan': 0.0625, 'media report': 0.0625, 'incident': 0.0625, 'wedding': 0.05357142857142857, 'court': 0.05357142857142857, 'effective measures': 0.046875, 'place': 0.046875, 'teenagers residence': 0.041666666666666664, 'group': 0.041666666666666664, 'probe': 0.041666666666666664, 'matter': 0.041666666666666664, 'Minister': 0.041666666666666664, 'report': 0.041666666666666664, 'massive outrage': 0.041666666666666664, 'Pakistan': 0.041666666666666664, 'Hindu lawmaker': 0.03125, 'National Assembly': 0.03125, 'Hindu community': 0.03125, 'demonstrations': 0.03125, 'Hindu minor girls': 0.0, 'Reena': 0.0, 'residence': 0.0, 'video': 0.0, 'PTI': 0.0, 'Sushma Swaraj': 0.0}"
7,7,"{'Finance Minister Arun': 0.4, 'fresh dig': 0.22857142857142856, 'party': 0.22857142857142856, 'major victories': 0.22857142857142856, 'current generation': 0.22857142857142856, 'parties': 0.1, 'major drawback': 0.1, 'current generation dynast': 0.1, 'charisma': 0.1, 'incentive': 0.0, 'crowd': 0.0}","{'falsehood': 0.3144599303135889, 'Finance Minister Arun': 0.28650793650793654, 'Congress': 0.28650793650793654, 'Mr Jaitley': 0.28650793650793654, 'Congress party': 0.28650793650793654, 'photocopies': 0.2631195335276968, 'documents': 0.24793956043956045, 'forgeries': 0.2261904761904762, 'Rahul': 0.22229064039408866, 'Jaitley': 0.22229064039408866, 'polls': 0.2185230024213075, 'BS Yeddyurappa': 0.2046485260770975, 'BSY': 0.2046485260770975, 'Air Force': 0.2046485260770975, 'government': 0.2046485260770975, 'Balakot air strikes': 0.2046485260770975, 'international media reports': 0.2046485260770975, 'allegations': 0.19243070362473347, 'Opposition leader': 0.18418367346938774, 'poll': 0.17190476190476192, 'Opposition': 0.07142857142857142, 'minister blog': 0.047619047619047616, 'New Low': 0.047619047619047616, 'minister': 0.03571428571428571, 'media organisations': 0.03571428571428571, 'Arun Jaitley': 0.0, 'Sam Pitroda': 0.0, 'Chief Rahul Gandhi': 0.0, 'Balakot air': 0.0}","{'Yeddyurappa': 0.2204081632653061, 'Congress': 0.2204081632653061, 'Income Tax department': 0.1881533101045296, 'grand old party': 0.17142857142857143, 'department officials': 0.15743440233236153, 'handwritten notes': 0.15428571428571428, 'BJP leadership': 0.15126050420168066, 'PM Narendra Modi': 0.14835164835164835, 'statement': 0.14835164835164835, 'Finance Minister Arun': 0.14835164835164835, 'Pinaki Chandra Ghose': 0.14835164835164835, 'Lok Sabha elections': 0.14835164835164835, 'BJP': 0.14835164835164835, 'father': 0.14555256064690025, 'diary': 0.13775510204081634, 'possession': 0.1330049261083744, 'Randeep Singh Surjewala': 0.1330049261083744, 'stalwarts Lal Krishna': 0.11868131868131868, 'issue': 0.11688311688311687, 'loose sheets': 0.10884353741496597, 'minister DK Shivakumar': 0.10158730158730157, 'Shivakumar': 0.10158730158730157, 'Television': 0.0761904761904762, 'Direct Taxes': 0.06926406926406926, 'original copy': 0.06926406926406926, 'conservative norms': 0.06926406926406926, 'documents': 0.06926406926406926, 'leaders': 0.06926406926406926, 'information': 0.06926406926406926, 'social media': 0.06349206349206349, 'norm': 0.047619047619047616, 'Chowkidar Arun Jaitley': 0.047619047619047616, 'Yeddyurappa father': 0.047619047619047616, 'norms': 0.042328042328042326, 'Congress party': 0.031746031746031744, 'investigation': 0.031746031746031744, 'magazine report': 0.023809523809523808, 'Karnataka CM BS': 0.023809523809523808, 'names': 0.0, 'report': 0.0, 'spokesperson Randeep Singh': 0.0, 'Yeddyurappa signature': 0.0, 'president Rahul Gandhi': 0.0}"
8,8,"{'Minister Uma Bharti': 0.2, 'BJP': 0.17777777777777776, 'candidates': 0.15238095238095237, 'Union Minister': 0.15238095238095237, 'party': 0.13333333333333333, 'party Vice President': 0.12, 'Lok Sabha election': 0.12, 'desire': 0.12, 'parties': 0.10666666666666667, 'Kolar seat': 0.10666666666666667, 'Narendra Singh Tomar': 0.08888888888888888, 'Minister': 0.08888888888888888, 'Political temperatures': 0.0, 'total': 0.0, 'names': 0.0, 'Senior BJP Leader': 0.0}","{'Congress': 0.26373626373626374, 'Lok Sabha seats': 0.2517482517482517, 'candidates': 0.1978021978021978, 'seats': 0.17866004962779156, 'RJD nominees': 0.17307692307692307, 'announcement': 0.17307692307692307, 'evening': 0.17307692307692307, 'opposition Grand Alliance': 0.16783216783216784, 'Bihar Congress spokesman': 0.16783216783216784, 'opposition': 0.16783216783216784, 'RJD': 0.1496881496881497, 'Bihar': 0.13186813186813187, 'state': 0.11538461538461539, 'phases': 0.07692307692307693, 'date': 0.07692307692307693, 'Mukesh Sahnis VIP': 0.07692307692307693, 'Lok Sabha elections': 0.05128205128205128, 'place': 0.05128205128205128, 'Congress kitty': 0.05128205128205128, 'Upendra Kushwahas': 0.05128205128205128, 'Mukesh Sahnis': 0.05128205128205128, 'Lok Sabha Elections': 0.05128205128205128, 'Bhagalpur': 0.038461538461538464, 'Prakash Narayan Yadav': 0.038461538461538464, 'phase': 0.0, 'Lalu Prasad': 0.0, 'Twitter': 0.0}","{'Girish Bapat': 0.17857142857142858, 'BJP': 0.14285714285714285, 'Andhra Pradesh': 0.09920634920634921, 'candidates': 0.09920634920634921, 'Daman': 0.09920634920634921, 'candidate': 0.09920634920634921, 'elections': 0.09920634920634921, 'Prime Minister Modi': 0.08163265306122448, 'Amit Shah': 0.08163265306122448, 'seat': 0.08163265306122448, 'absolute majority': 0.08163265306122448, 'Maharashtra': 0.07142857142857142, 'list': 0.07142857142857142, 'decision': 0.07142857142857142, 'Congress party': 0.07142857142857142, 'Lok Sabha elections': 0.047619047619047616, 'polls': 0.047619047619047616, 'minister JP Nadda': 0.047619047619047616, 'Central Elections Commission': 0.047619047619047616, 'party': 0.047619047619047616, 'names': 0.047619047619047616, 'huge debacle': 0.047619047619047616, 'seats': 0.047619047619047616, 'Bharatiya Janata Party': 0.03571428571428571, 'Pradesh Maharashtra Odisha': 0.03571428571428571, 'Sambit Patra': 0.03571428571428571, 'Odisha': 0.03571428571428571, 'National Democratic Alliance': 0.03571428571428571, 'government': 0.03571428571428571}"
9,9,"{'Army jawan': 0.2, 'Jammu': 0.2, 'Pakistan': 0.2, 'violation': 0.2, 'firing': 0.2, 'place': 0.2}","{'Pakistan': 0.5208333333333334, 'Pakistani troops': 0.36764705882352944, 'ceasefire violations': 0.3472222222222222, 'ceasefire': 0.3289473684210526, 'soldier': 0.3289473684210526, 'ceasefire agreement': 0.2976190476190476, 'India': 0.2976190476190476, 'adherence': 0.2976190476190476, 'restraint': 0.2976190476190476, 'Pulwama attack': 0.25, 'soldier injuries': 0.22321428571428573, 'Hari Waker': 0.0625, 'ceasefire violation': 0.0625, 'Rifleman Yash Paul': 0.0625, 'soldier life': 0.0625, 'army jawan': 0.0, 'Twitter': 0.0}","{'Pakistan Army': 0.1984126984126984, 'Pakistan': 0.19047619047619047, 'Pakistan Army jawan': 0.1714285714285714, 'India': 0.1558441558441558, 'unprovoked firing': 0.1488095238095238, 'cross border': 0.14285714285714285, 'ceasefire': 0.11904761904761904, 'Army Hospital': 0.11904761904761904, 'injuries': 0.11904761904761904, 'ceasefire violation': 0.11428571428571428, 'Army jawan life': 0.11428571428571428, 'terrorist training camps': 0.10714285714285714, 'Army personnel': 0.0992063492063492, 'Army jawan': 0.047619047619047616, 'jawan life': 0.047619047619047616, 'Pakistani forces': 0.047619047619047616, 'Indian civilians': 0.047619047619047616, 'Indian Army': 0.047619047619047616, 'civilian areas': 0.047619047619047616, 'Hari Waker': 0.0, 'Tensions': 0.0, 'civilians': 0.0}"
10,10,"{'Defence Minister Nirmala': 0.42000000000000004, 'previous governments': 0.26666666666666666, 'Congress government': 0.2, 'erstwhile': 0.2, 'national war memorial': 0.17777777777777778, 'Union Defence Minister': 0, 'Ex servicemen': 0.1, 'personnel': 0.1, 'forces': 0.1, 'forces personnel': 0.1, 'lives': 0.1}","{'Congress': 0.2887700534759358, 'terror': 0.23823529411764707, 'Pakistan': 0.23242467718794835, 'forces': 0.23242467718794835, 'terrorists': 0.23242467718794835, 'Mr Pitroda': 0.22161422708618334, 'ANI': 0.21657754010695188, 'PM Modi': 0.2071611253196931, 'Congress royal dynasty': 0.2071611253196931, 'BJP': 0.19447779111644659, 'Mumbai attacks': 0.19447779111644659, 'right decision': 0.19058823529411764, 'New India': 0.19058823529411764, 'Mumbai terror attacks': 0.1643002028397566, 'act': 0.16151545363908276, 'Highlights Union Minister': 0.1562198649951784, 'Congress chief': 0.12705882352941175, 'Navjot Singh Sidhu': 0.12538699690402477, 'Nirmala Sitharaman remark': 0.12217194570135748, 'Sam Pitroda': 0.08823529411764706, 'Nirmala Sitharaman': 0.058823529411764705, 'Minister Narendra Modi': 0.052941176470588235, 'terrorist camp': 0.052941176470588235, 'air strike': 0.052941176470588235, 'deterrent action': 0.0392156862745098, 'attacks': 0.0392156862745098, 'military': 0.029411764705882353, 'armed forces': 0.029411764705882353, 'attack': 0.029411764705882353, 'world': 0.029411764705882353, 'BJP chief Amit': 0.029411764705882353, 'Controversy': 0.029411764705882353, 'military action': 0.0, 'Ms Sitharaman': 0.0, 'Air Force': 0.0}","{'CBI': 0.1781818181818182, 'high court': 0.16, 'case': 0.15076923076923077, 'apex court': 0.14, '73-year-old Kumar': 0.13066666666666668, 'leader Sajjan Kumar': 0.128, 'Chief Justice Ranjan': 0.11529411764705882, 'CBI bail plea': 0.11529411764705882, 'Justice Sanjiv Khanna': 0.10666666666666666, 'riots': 0.10666666666666666, 'crime': 0.10666666666666666, 'enmity': 0.098, 'national capital': 0.09142857142857143, 'political patronage': 0.09142857142857143, 'bench': 0.08521739130434784, 'Delhi': 0.08, 'High Court verdict': 0.08, 'anti-Sikh riots case': 0.07111111111111111, 'judgment': 0.04, 'minister Indira Gandhi': 0.04, 'verdict': 0.04, 'Kumar': 0.04, 'matter': 0.0, 'Anti-Sikh riots': 0.0, 'witnesses': 0.0, 'Sikhs': 0.0}"
11,11,"{'BJP': 0.25507246376811593, 'previous government': 0.13043478260869565, 'Uttar Uttar Pradesh': 0.13043478260869565, 'Senior BJP leader': 0, 'SUSHMA SWARAJ': 0.08695652173913043, 'Vijay Sankalp Sabhas': 0.08695652173913043, 'Saharanpur': 0.08695652173913043, 'Uttar Pradesh Chief': 0.08695652173913043, 'similar offensive': 0.07826086956521738, 'Mumbai terror attack': 0.07826086956521738, 'Sushma Swaraj': 0.07826086956521738, 'poll campaign': 0.07826086956521738, 'party': 0.1217391304347826, 'obeisance': 0.07826086956521738, 'Sankalp Sabha': 0.178743961352657, 'VIJAY SANKALP SABHA': 0, 'NOIDA': 0.05797101449275362, 'Shakumbari Devi temple': 0.05797101449275362, 'public meeting': 0.05797101449275362, 'Bharatiya Janta Party': 0, 'Lok Sabha elections': 0, 'Minister Mahesh Sharma': 0.043478260869565216, 'gathering': 0.043478260869565216, 'president Amit Shah': 0.0}","{'Annapaurna Devi': 0.6136363636363636, 'Sources': 0.4909090909090909, 'Rashtriya Janata Dal': 0.46022727272727276, 'BJP': 0.4090909090909091, 'RJD': 0.3875598086124402, 'opposition parties': 0.3681818181818182, 'secretary Bhupendra Yadav': 0.3681818181818182, 'BJP candidate': 0.32015810276679846, 'Lok Sabha polls': 0.32015810276679846, 'Legislative Assembly': 0.28321678321678323, 'MLA Janardhan Paswan': 0.0, 'Twitter': 0.0}","{'Nath': 0.23860021208907742, 'seats': 0.22750252780586452, 'elections': 0.21739130434782608, 'Congress': 0.20814061054579094, 'minister Digvijaya Singh': 0.1918158567774936, 'Bharatiya Janata Party': 0.17786561264822134, 'Congress party': 0.17786561264822134, 'Congress PC Sharma': 0.17786561264822134, 'BJP': 0.16037063435495366, 'Lok Sabha elections': 0.15527950310559005, 'Madhya Pradesh Chief': 0.15527950310559005, 'seat': 0.14600908500973395, 'PC Sharma luck': 0.14177693761814744, 'Madhya Pradesh chief': 0.12704686617730096, 'phases': 0.12704686617730096, 'landslide victory': 0.12077294685990338, 'PC': 0.09782608695652173, 'Sanjar': 0.09782608695652173, 'lakh votes': 0.06521739130434782, 'votes': 0.06521739130434782, 'development': 0.0, 'BJP MP Alok': 0.0, 'Lok Sabha constituencies': 0.0, 'Madhya Pradesh': 0.0}"
